Rank,Name,Industry,Revenue (USD million),Revenue growth,Employees,Headquarters
1,Walmart,Retail,559200,1.9%,2200000,"Bentonville, Arkansas"
2,Amazon,Retail,386064,20.5%,1225300,"Seattle, Washington"
3,Apple Inc.,Electronics industry,274515,2.0%,137000,"Cupertino, California"
4,CVS Health,Healthcare,268706,32.0%,290000,"Woonsocket, Rhode Island"
5,ExxonMobil,Petroleum industry,264938,8.7%,74900,"Irving, Texas"
6,UnitedHealth Group,Healthcare,257141,7.0%,325000,"Minnetonka, Minnesota"
7,Berkshire Hathaway,Conglomerate,254616,2.7%,391500,"Omaha, Nebraska"
8,McKesson Corporation,Healthcare,214319,2.9%,70000,"Irving, Texas"
9,AmerisourceBergen,Pharmaceutical industry,189900,6.9%,21500,"Chesterbrook, Pennsylvania"
10,Alphabet Inc.,Technology,182530,18.3%,118899,"Mountain View, California"
11,AT&T,Conglomerate,181193,6.1%,247800,"Dallas, Texas"
12,Cigna,Health Insurance,160400,215.7%,73700,"Bloomfield, Connecticut"
13,Ford Motor Company,Automotive industry,155900,2.8%,190000,"Dearborn, Michigan"
14,Costco,Retail,152703,7.9%,201500,"Issaquah, Washington"
15,Chevron Corporation,Petroleum industry,146516,11.9%,48200,"San Ramon, California"
16,Cardinal Health,Healthcare,145534,6.4%,49500,"Dublin, Ohio"
17,Microsoft,Technology,143000,14.0%,144000,"Redmond, Washington"
18,JPMorgan Chase,Financial services,142422,8.4%,256981,"New York City, New York"
19,General Motors,Automotive,137237,6.7%,164000,"Detroit, Michigan"
20,Walgreens Boots Alliance,Pharmaceutical industry,136866,4.1%,287000,"Deerfield, Illinois"
21,Verizon Communications,Telecommunications,131868,0.8%,135000,"New York City, New York"
22,Marathon Petroleum,Petroleum industry,124813,28.5%,60910,"Findlay, Ohio"
23,Kroger,Retail,122286,0.9%,435000,"Cincinnati, Ohio"
24,Fannie Mae,Financials,120304,0.2%,7500,"Washington, D.C."
25,Bank of America,Financials,113589,2.7%,208131,"Charlotte, North Carolina"
26,The Home Depot,Retail,110225,1.9%,415700,"Atlanta, Georgia"
27,Phillips 66,Petroleum industry,109559,4.1%,14500,"Houston, Texas"
28,Comcast,Telecommunications,108942,15.3%,190000,"Philadelphia, Pennsylvania"
29,Anthem,Healthcare,104213,13.1%,70600,"Indianapolis, Indiana"
30,Wells Fargo,Financials,103915,2.8%,259800,"San Francisco, California"
31,Citigroup,Financials,103449,6.5%,200000,"New York City, New York"
32,Valero Energy,Petroleum industry,102729,7.8%,10222,"San Antonio, Texas"
33,General Electric,Conglomerate,95214,20.8%,205000,"Boston, Massachusetts"
34,Dell Technologies,Technology,92154,1.7%,165000,"Round Rock, Texas"
35,"Facebook, Inc.",Technology,85970,26.6%,44942,"Menlo Park, California"
36,Johnson & Johnson,Pharmaceutical industry,82059,0.6%,132200,"New Brunswick, New Jersey"
37,State Farm,Financials,79395,2.9%,57672,"Bloomington, Illinois"
38,Target Corporation,Retail,78112,3.7%,368000,"Minneapolis, Minnesota"
39,Intel,Technology,77870,1.6%,110800,"Santa Clara, California"
40,IBM,Technology,77147,3.1%,383800,"Armonk, New York"
41,United Technologies,Conglomerate,77046,15.9%,243200,"Waltham, Massachusetts"
42,Boeing,Aerospace and defense,76559,24.3%,161100,"Chicago, Illinois"
43,Freddie Mac,Financials,75125,2.1%,6892,"McLean, Virginia"
44,Centene,Healthcare,74639,24.2%,56600,"St. Louis, Missouri"
45,United Parcel Service,Transportation,74094,3.1%,377640,"Atlanta, Georgia"
46,Lowe's,Retail,72148,1.2%,260000,"Mooresville, North Carolina"
47,Procter & Gamble,Consumer products Manufacturing,70950,1.3%,99000,"Cincinnati, Ohio"
48,PepsiCo,Beverage,70370,3.7%,267000,"Purchase, New York"
49,FedEx,Transportation,69693,6.5%,389500,"Memphis, Tennessee"
50,MetLife,Financials,69620,2.5%,49000,"New York City, New York"
51,The Walt Disney Company,Media,69570,17.1%,223000,"Burbank, California"
52,Lockheed Martin,Aerospace and Defense,65400,11.3%,114000,"Bethesda, Maryland"
53,Humana,Health Insurance,64888,14.0%,46000,"Louisville, Kentucky"
54,Prudential Financial,Financials,64807,2.9%,51511,"Newark, New Jersey"
55,Archer Daniels Midland,Food industry,64656,0.5%,38100,"Chicago, Illinois"
56,Albertsons,Retail,60535,1.0%,267000,"Boise, Idaho"
57,Sysco,Food Service,60114,2.4%,69000,"Houston, Texas"
58,HP Inc.,Technology,58756,0.5%,56000,"Palo Alto, California"
59,Energy Transfer Partners,Petroleum industry,54213,0.4%,12812,"Dallas, Texas"
60,Goldman Sachs,Financials,53922,2.7%,38300,"New York City, New York"
61,Morgan Stanley,Financials,53823,7.2%,60431,"New York City, New York"
62,Caterpillar Inc.,Machinery,53800,1.7%,102300,"Deerfield, Illinois"
63,Cisco,Telecom Hardware Manufacturing,51904,5.2%,75900,"San Jose, California"
64,Pfizer,Pharmaceutical industry,51750,3.5%,88300,"New York City, New York"
65,HCA Healthcare,Healthcare,51336,10.0%,245000,"Nashville, Tennessee"
66,AIG,Insurance,49746,5.0%,46000,"New York City, New York"
67,American Express,Financial,47020,8.6%,64500,"New York City, New York"
68,Delta Air Lines,Airlines,47007,5.8%,91224,"Atlanta, Georgia"
69,Merck & Co.,Pharmaceutical industry,46840,10.7%,71000,"Kenilworth, New Jersey"
70,American Airlines,Airlines,45768,2.8%,133700,"Fort Worth, Texas"
71,Charter Communications,Telecommunications,45764,4.9%,95100,"Stamford, Connecticut"
72,Allstate,Insurance,44675,12.2%,46035,"Northfield Township, Cook County, Illinois"
73,New York Life Insurance Company,Insurance,44117,1.6%,11519,"New York City, New York"
74,Nationwide Mutual Insurance Company,Financial,43982,1.6%,28114,"Columbus, Ohio"
75,Best Buy,Retail,43638,1.8%,125000,"Richfield, Minnesota"
76,United Airlines Holdings,Airlines,43259,4.7%,96000,"Chicago, Illinois"
77,Liberty Mutual Group,Insurance,43228,1.3%,45000,"Boston, Massachusetts"
78,Dow Chemical Company,Chemical industry,42951,...,36500,"Midland, Michigan"
79,Tyson Foods,Food Processing,42405,5.9%,141000,"Springdale, Arkansas"
80,TJX,Retail,41717,7.0%,286000,"Framingham, Massachusetts"
81,TIAA,Insurance,40454,1.5%,16533,"New York City, New York"
82,Oracle Corporation,Software,39506,0.8%,136000,"Austin, Texas"
83,General Dynamics,Airspace and defense,39350,8.7%,102900,"Reston, Virginia"
84,John Deere,Agriculture manufacturing,39258,5.1%,73489,"Moline, Illinois"
85,"Nike, Inc.",Apparel,39117,7.5%,76700,"Beaverton, Oregon"
86,Progressive Corporation,Insurance,39022,22.0%,41571,"Mayfield Village, Ohio"
87,Publix,Retail,38463,5.7%,207000,"Lakeland, Florida"
88,Coca-Cola Company,Beverages,37266,17.0%,86200,"Atlanta, Georgia"
89,Massachusetts Mutual Life Insurance Company,Insurance,37253,5.1%,9896,"Springfield, Massachusetts"
90,Tech Data,Information technology,36998,0.6%,15000,"Clearwater, Florida"
91,World Fuel Services,Energy,36819,7.4%,5500,"Miami, Florida"
92,Honeywell,Manufacturing,36709,12.2%,113000,"Charlotte, North Carolina"
93,ConocoPhillips,Petroleum industry,36670,5.3%,10400,"Houston, Texas"
94,USAA,Financials,35617,13.5%,35076,"San Antonio, Texas"
95,Exelon,Electrical Power,34438,4.3%,32713,"Chicago, Illinois"
96,Northrop Grumman,Aerospace and Defense,33841,12.4%,90000,"West Falls Church, Virginia"
97,Capital One,Banking,33766,4.3%,51900,"McLean, Virginia"
98,Plains All American Pipeline,Petroleum industry,33669,1.1%,5000,"Houston, Texas"
99,AbbVie,Pharmaceutical industry,33266,1.6%,30000,"Lake Bluff, Illinois"
100,StoneX Group Inc.,Financials,32897,19.1%,2012,"New York City, New York"
101,Enterprise Products,Petroleum industry,32789,10.3%,7300,"Houston, Texas"
102,Northwestern Mutual,Insurance,32294,10.9%,5964,"Milwaukee, Wisconsin"
103,3M,Manufacturing,32136,1.9%,96163,"Maplewood, Minnesota"
104,Abbott Laboratories,Medical devices,31904,4.3%,107000,"Chicago, Illinois"
105,CHS Inc.,Agriculture cooperative,31901,2.4%,10703,"Inver Grove Heights, Minnesota"
106,The Travelers Companies,Insurance,31581,4.3%,30800,"Hartford, Connecticut"
107,"Tesla, Inc.",Automotive,31536,14.5%,48016,"Palo Alto, California"
108,Philip Morris International,Tobacco,29805,0.6%,73500,"New York City, New York"
109,Raytheon Company,Airspace and defense,29176,7.8%,70000,"Waltham, Massachusetts"
110,Hewlett Packard Enterprise,Technology,29135,5.6%,61600,"Houston, Texas"
111,Arrow Electronics,Electronics,28917,2.6%,19300,"Centennial, Colorado"
112,ViacomCBS,Media,27812,91.6%,26280,"New York City, New York"
113,Dollar General,Retail,27754,8.3%,143000,"Goodlettsville, Tennessee"
114,U.S. Bancorp,Banking,27325,6.0%,69651,"Minneapolis, Minnesota"
115,Starbucks,Food Services,26509,7.2%,346000,"Seattle, Washington"
116,Bristol-Myers Squibb,Pharmaceutical industry,26145,15.9%,30000,"New York City, New York"
117,US Foods,Food distribution,25939,7.3%,28000,"Rosemont, Illinois"
118,Mondelez International,Food processing,25868,0.3%,80000,"Chicago, Illinois"
119,Paccar,Automotive,25600,9.0%,27000,"Bellevue, Washington"
120,Thermo Fisher Scientific,Laboratory instruments,25542,4.9%,75000,"Waltham, Massachusetts"
121,"Macy's, Inc.",Retail,25331,1.6%,123000,"Cincinnati, Ohio"
122,Jabil,Electronic Manufacturing Service,25282,14.4%,200000,"St. Petersburg, Florida"
123,Kraft Heinz,Food processing,24977,4.9%,37000,"Chicago, Illinois"
124,Duke Energy,Energy,24658,2.2%,28793,"Charlotte, North Carolina"
125,PBF Energy,Petroleum industry,24508,9.9%,3442,"Parsippany, New Jersey"
126,Qualcomm,Semiconductor,24273,7.4%,37000,"San Diego, California"
127,NGL Energy Partners,Pipelines,24088,39.4%,1300,"Tulsa, Oklahoma"
128,CBRE Group,Real estate,23894,12.0%,100000,"Dallas, Texas"
129,Baker Hughes,Petroleum industry,23838,4.2%,68000,"Houston, Texas"
130,Synnex,Information distribution,23757,18.5%,240900,"Fremont, California"
131,Dollar Tree,Retail,23611,3.5%,125000,"Chesapeake, Virginia"
132,Cummins,Automotive,23571,0.8%,61615,"Columbus, Indiana"
133,United Natural Foods,Retail,23481,129.6%,19000,"Providence, Rhode Island"
134,Micron Technology,Semiconductors,23406,23.0%,37000,"Boise, Idaho"
135,Amgen,Biotechnology,23362,1.6%,23400,"Thousand Oaks, California"
136,Penske Automotive Group,Transportation,23179,1.7%,26980,"Bloomfield Hills, Michigan"
137,Visa Inc.,Financial services,22977,11.5%,19500,"Foster City, California"
138,Broadcom Inc.,Semiconductor,22597,8.4%,19000,"San Jose, California"
139,Nucor,Metals,22589,9.9%,26800,"Charlotte, North Carolina"
140,Gilead Sciences,Pharmaceutical industry,22449,1.5%,11800,"Foster City, California"
141,Southwest Airlines,Airlines,22428,2.1%,60767,"Dallas, Texas"
142,Halliburton,Petroleum industry,22408,6.6%,55000,"Houston, Texas"
143,CenturyLink,Telecommunication,22401,4.4%,42500,"Monroe, Louisiana"
144,International Paper,Paper,22376,4.0%,51000,"Memphis, Tennessee"
145,Eli Lilly and Company,Pharmaceutical industry,22320,9.1%,33625,"Indianapolis, Indiana"
146,Aflac,Insurance,22307,2.5%,11729,"Columbus, Georgia"
147,Lennar Corporation,Construction,22260,8.2%,10106,"Miami, Florida"
148,Occidental Petroleum,Petroleum industry,21971,16.0%,14400,"Houston, Texas"
149,Union Pacific Corporation,Transportation,21708,4.9%,37483,"Omaha, Nebraska"
150,Rite Aid,Retail,21674,28.3%,42645,"Camp Hill, Pennsylvania"
